id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
96317,"Romance, Violence & Strawberry Republic","Роман, насилие и клубничная республика",/mangas/96317-romance-violence-strawberry-republic,light_novel,0.0,released,2,28,,,2010-05-18,2011-01-18
90252,Sacred Chronicle,Священная хроника,/mangas/90252-sacred-chronicle,light_novel,0.0,ongoing,0,0,,,2015-07-15,
91205,Owa Rande!,,/mangas/91205-owa-rande,light_novel,0.0,released,4,27,,,2010-09-25,2011-10-25
94908,Kidou Shitsuji: Toaru Gunjin Robot no Second Life,,/mangas/94908-kidou-shitsuji-toaru-gunjin-robot-no-second-life,light_novel,0.0,released,1,8,,,2015-12-10,
73349,Dragon Fleet Senki: Shingan no Admiral,,/mangas/73349-dragon-fleet-senki-shingan-no-admiral,light_novel,0.0,released,2,18,,,2013-11-01,2014-05-01
60231,Iruka-ryou no Shoujo-tachi wa Koi Dekinai,"Общежитие Дельфин для девочек, которые не могут любить",/mangas/60231-iruka-ryou-no-shoujo-tachi-wa-koi-dekinai,light_novel,0.0,released,2,0,,,2012-04-10,2012-07-10
57313,Bakumatsu Mahoushi,,/mangas/57313-bakumatsu-mahoushi,light_novel,0.0,released,3,0,,,2010-02-10,2011-08-10
174726,"Tanaka-ke, Tensei suru.",Семья Танака перерождается,/mangas/174726-tanaka-ke-tensei-suru,light_novel,0.0,ongoing,0,0,,,2020-06-05,
64235,GOD W（｀・ω・´）RLD - God World,,/mangas/64235-god-w-rld-god-world,light_novel,0.0,released,2,22,,,2013-12-20,2014-04-19
99438,IOTA: Senjutsu Kikou Hohei - Kanojo wa Kiken na Sentou Heiki,,/mangas/99438-iota-senjutsu-kikou-hohei-kanojo-wa-kiken-na-sentou-heiki,light_novel,0.0,ongoing,0,0,,,2016-06-11,
133437,"Ossan Teihen Chiyushi to Manamusume no Henkyou Life: Chuunen Otoko ga Kaifuku Skill ni Kakusei shite, Eiyuu e Nariagaru",Пограничная жизнь целителя и его любимой дочери,/mangas/133437-ossan-teihen-chiyushi-to-manamusume-no-henkyou-life-chuunen-otoko-ga-kaifuku-skill-ni-kakusei-shite-eiyuu-e-nariagaru,light_novel,0.0,ongoing,0,0,,,2020-09-30,
134995,"Akuyaku Reijou Saigo no Torimaki wa, Kanojo no Tame ni Chuugi wo Tsuranuku!","Как последний приспешник злодейки, я буду следовать за ней до конца!",/mangas/134995-akuyaku-reijou-saigo-no-torimaki-wa-kanojo-no-tame-ni-chuugi-wo-tsuranuku,light_novel,0.0,released,1,0,,,2020-12-02,
89013,Akairo/Romance,,/mangas/89013-akairo-romance,light_novel,0.0,released,6,0,,,2008-08-10,2009-12-10
89805,Arianrhod Saga,Сага об Арианроде,/mangas/89805-arianrhod-saga,light_novel,0.0,released,3,18,,,2008-12-20,2010-06-19
146280,Aisare Seijo wa Yamiochi Akayuku wo Sukuitai,"Святая, любимая всеми, хочет спасти злодея, погрязшего во тьме",/mangas/146280-aisare-seijo-wa-yamiochi-akayuku-wo-sukuitai,light_novel,0.0,released,2,11,,,2022-04-25,2022-08-25
92296,Coupe to BB-dan,,/mangas/92296-coupe-to-bb-dan,light_novel,0.0,released,3,20,,,2005-07-30,2008-02-29
108264,Asa Okitara Dungeon ga Shutsugen shiteita Nichijou ni Tsuite,"О том, как проснуться утром и обнаружить, что появилось подземелье",/mangas/108264-asa-okitara-dungeon-ga-shutsugen-shiteita-nichijou-ni-tsuite,light_novel,0.0,ongoing,0,0,,,2017-07-22,
162098,Saishou Hosa to Kurokishi no Keiyaku Kekkon to Rikon to Sonogo: Henkyou no Chi de Futari wa Fuufu wo Yarinaosu,,/mangas/162098-saishou-hosa-to-kurokishi-no-keiyaku-kekkon-to-rikon-to-sonogo-henkyou-no-chi-de-futari-wa-fuufu-wo-yarinaosu,light_novel,0.0,ongoing,0,0,,,2023-07-07,
120346,Yuan Zun,Почтенный Юань,/mangas/120346-yuan-zun,novel,0.0,released,21,1497,,,2017-11-30,2021-03-30
61689,Rival Only One!,,/mangas/61689-rival-only-one,light_novel,0.0,released,5,0,,,2012-02-02,2013-08-02
75341,Hagure Seija no Last Shoot,,/mangas/75341-hagure-seija-no-last-shoot,light_novel,0.0,released,1,0,,,2014-05-20,
75677,Jinrui yo Watashi ni Houshinasai,,/mangas/75677-jinrui-yo-watashi-ni-houshinasai,light_novel,0.0,released,1,0,,,2011-07-20,
58339,Koharubara Hiyori no Ikusei Nikki,Дневник воспитания Кохарубары Хиёри,/mangas/58339-koharubara-hiyori-no-ikusei-nikki,light_novel,0.0,released,5,24,,,2009-10-10,2012-09-10
59547,Ikemen Kanojo,,/mangas/59547-ikemen-kanojo,light_novel,0.0,released,3,0,,,2012-03-02,2013-08-02
64649,Kirino-kun ni wa Kanojo ga Inai!?,,/mangas/64649-kirino-kun-ni-wa-kanojo-ga-inai,light_novel,0.0,released,1,7,,,2010-06-19,
82275,Yogu no Monshoushi,,/mangas/82275-yogu-no-monshoushi,light_novel,0.0,released,3,17,,,2014-11-25,2015-06-25
89834,Doubt Call: Sanryuu Sakka to Hakkou Shitsuji no Chounouryoku Sashou Jiken Tokubetsu Taisaku,,/mangas/89834-doubt-call-sanryuu-sakka-to-hakkou-shitsuji-no-chounouryoku-sashou-jiken-tokubetsu-taisaku,light_novel,0.0,released,1,5,,,2012-09-20,
107783,Tatta Hitotsu no Saeta Yarikata,,/mangas/107783-tatta-hitotsu-no-saeta-yarikata,light_novel,0.0,ongoing,0,0,,,2017-07-01,
108049,"Oshikake Inumimi Dorei ga, NEET na Daieiyuu no Osewa wo Suru you desu.",,/mangas/108049-oshikake-inumimi-dorei-ga-neet-na-daieiyuu-no-osewa-wo-suru-you-desu,light_novel,0.0,ongoing,0,0,,,2017-07-25,
