id,name,russian,url,kind,score,status,volumes,chapters,episodes,episodes_aired,aired_on,released_on
21608,Kinnikuman II-sei: All Choujin Daishingeki,,/mangas/21608-kinnikuman-ii-sei-all-choujin-daishingeki,manga,0.0,released,4,43,,,2001-05-21,2007-03-20
5457,Tomoe ga Yuku!,Вот идёт Томоэ!,/mangas/5457-tomoe-ga-yuku,manga,0.0,released,8,0,,,1988-05-01,1990-09-01
16243,Jeep and Wagon,Джип и Вагон,/mangas/16243-jeep-and-wagon,one_shot,6.43,released,0,1,,,2008-01-01,
34179,Radio Heads,Радиоголовы,/mangas/34179-radio-heads,manga,0.0,ongoing,0,0,,,2011-01-01,
188463,Gekidou,Бурные перемены,/mangas/188463-gekidou,manga,0.0,ongoing,0,0,,,2025-06-05,
176779,Kyatapi Land,Кятапиленд,/mangas/176779-kyatapi-land,manga,0.0,ongoing,0,0,,,2023-10-11,
12380,Mori no Kuma-san,Лесной медведь,/mangas/12380-mori-no-kuma-san,one_shot,5.99,released,0,1,,,2008-01-01,
19870,Shin Mazinger: Shougeki! H-hen,,/mangas/19870-shin-mazinger-shougeki-h-hen,manga,0.0,released,1,3,,,2009-04-16,2009-08-19
146554,Kidou Senshi Gundam: Pulitzer - Amuro Ray wa Kyokkou no Kanata e,,/mangas/146554-kidou-senshi-gundam-pulitzer-amuro-ray-wa-kyokkou-no-kanata-e,manga,0.0,ongoing,0,0,,,2021-08-26,
73929,Look at Me,Смотри на меня,/mangas/73929-look-at-me,one_shot,5.87,released,0,1,,,2014-01-25,
155465,Ouji ni Dekiai saretakunai node Moto no Princess desu ga Dansou Shitsuji ni Narimasu!,"Я стала дворецким, чтобы избежать любви принца!",/mangas/155465-ouji-ni-dekiai-saretakunai-node-moto-no-princess-desu-ga-dansou-shitsuji-ni-narimasu,manga,0.0,ongoing,0,0,,,2020-12-28,
124721,Yaneura no Benjirou-san,Бэндзиро на чердаке,/mangas/124721-yaneura-no-benjirou-san,manga,6.84,released,1,5,,,2015-08-10,2016-11-10
173901,Kaketa Tsuki no Mercedes: Kyuuketsuki no Kizoku ni Tensei shita kedo Suteraresou nanode Dungeon wo Seiha suru @comic,"Мерседес пропавшей луны: Я перевоплотилась в вампиршу-дворянку, но меня вот-вот бросят, так что я покорю подземелье",/mangas/173901-kaketa-tsuki-no-mercedes-kyuuketsuki-no-kizoku-ni-tensei-shita-kedo-suteraresou-nanode-dungeon-wo-seiha-suru-comic,manga,0.0,ongoing,0,0,,,2021-08-23,
25196,Nakigao ni Kiss,Поцелуй сквозь слёзы,/mangas/25196-nakigao-ni-kiss,manga,0.0,released,9,0,,,2007-01-01,
174124,Boukansha no Koi,,/mangas/174124-boukansha-no-koi,manga,0.0,ongoing,0,0,,,2023-06-16,
156236,Kifujin Rosa wa Kage kara Ai wo Mimamoritai,Испорченная леди Роза хочет наблюдать за любовью из тени,/mangas/156236-kifujin-rosa-wa-kage-kara-ai-wo-mimamoritai,manga,0.0,ongoing,0,0,,,2021-11-17,
8347,Koi toka Ai toka,,/mangas/8347-koi-toka-ai-toka,manga,0.0,released,1,3,,,2005-01-01,
79511,Ore no Shitsuji (♀) ga Iketeiru,Мой дворецкий такой клёвый!,/mangas/79511-ore-no-shitsuji-ga-iketeiru,manga,0.0,released,7,28,,,2014-07-24,2019-02-23
8779,Love at the Fingertip,Любовь на кончике пальца,/mangas/8779-love-at-the-fingertip,one_shot,6.53,released,0,1,,,,
19985,My Lovely Master,Мой любимый мастер,/mangas/19985-my-lovely-master,manhwa,0.0,released,14,0,,,2010-01-01,
135873,Assassin's Creed: Cinders,Кредо убийцы: Пепел,/mangas/135873-assassin-s-creed-cinders,one_shot,6.23,released,0,1,,,2021-04-15,
93144,Kiss shitemo Ii Koro,Когда я смогу подарить тебе свой поцелуй,/mangas/93144-kiss-shitemo-ii-koro,manga,0.0,released,1,4,,,2013-07-24,2013-10-24
97251,Avengers: Zombies Assemble,,/mangas/97251-avengers-zombies-assemble,manga,0.0,released,2,24,,,2015-07-29,2016-07-06
15468,Paradise City,Райский город,/mangas/15468-paradise-city,manhua,0.0,released,4,0,,,1994-01-01,
183344,Karadasagashi: The Last Night,В поисках другого тела: Последняя ночь,/mangas/183344-karadasagashi-the-last-night,manga,5.9,ongoing,0,0,,,2025-07-01,
154103,Rokurei: Tenseishi Rinne Kuyakusho Dairokkan-bu Joreika Katsudouki,Рокурэй: Отчёт о деятельности отдела по спасению душ «Шестое чувство» из районного управления Риннэ города Тэнсэй,/mangas/154103-rokurei-tenseishi-rinne-kuyakusho-dairokkan-bu-joreika-katsudouki,manga,0.0,released,6,31,,,2022-01-25,2025-04-25
185670,Omoi Ai Monopolize,,/mangas/185670-omoi-ai-monopolize,doujin,0.0,released,1,11,,,2024-11-17,
168385,When the Mad Emperor Holds Me,Когда безумный император обнимает меня,/mangas/168385-when-the-mad-emperor-holds-me,manhwa,0.0,ongoing,0,0,,,2023-11-18,
15968,Kurenai Hanafubuki,Багряный вихрь лепестков,/mangas/15968-kurenai-hanafubuki,manga,6.69,released,1,6,,,2005-08-27,
11359,Junai★Login,Логин чистой любви,/mangas/11359-junai-login,manga,6.45,released,1,4,,,2007-01-01,
21161,Top wo Nerae! Next Generation,Дотянись до неба! Следующее поколение,/mangas/21161-top-wo-nerae-next-generation,manga,0.0,released,2,0,,,2007-03-27,
18766,Meitantei Otono Jun no Jikenbo,,/mangas/18766-meitantei-otono-jun-no-jikenbo,manga,0.0,released,4,0,,,2009-09-01,
169005,I Thought I Tamed the Villain,"Я думала, что приручила злодея",/mangas/169005-i-thought-i-tamed-the-villain,manhwa,0.0,released,0,70,,,2023-10-24,2024-11-30
174908,Iranai Skill Kaitorimasu,,/mangas/174908-iranai-skill-kaitorimasu,manga,0.0,ongoing,0,0,,,2024-09-25,
175877,Return Your Soul,Возвращение духа,/mangas/175877-return-your-soul,manhwa,0.0,ongoing,0,0,,,2024-10-28,
23700,Shin Denyuuden Kakumei-hen: Ochita Kuroi Yuusha no Densetsu,Легенда о Павшем Тёмном Герое,/mangas/23700-shin-denyuuden-kakumei-hen-ochita-kuroi-yuusha-no-densetsu,manga,0.0,released,4,0,,,2010-07-29,2012-04-26
100900,Gokurakuchou Dead End,Кусочек неба,/mangas/100900-gokurakuchou-dead-end,manga,0.0,released,3,17,,,2016-05-28,2017-09-28
118084,Crows Explode,Вороны: Взрыв,/mangas/118084-crows-explode,manga,0.0,ongoing,0,0,,,2017-10-06,
157491,Pocket Monsters: Liko no Takaramono,Покемон: Сокровище Лико,/mangas/157491-pocket-monsters-liko-no-takaramono,manga,0.0,released,1,4,,,2023-05-02,2023-07-03
174123,Yamanba-tei,Усадьба горной старухи,/mangas/174123-yamanba-tei,one_shot,6.51,released,0,1,,,2024-09-14,
21534,Little Busters! Ecstasy: Wonderbit Wandering,,/mangas/21534-little-busters-ecstasy-wonderbit-wandering,manga,0.0,ongoing,0,0,,,2010-05-01,
162940,"Tensei Daiseijo no Mezame: Shouki wo Joukashi Tsuzukeru koto Nijuunen, Okitara Densetsu no Daiseijo ni Nattemashita","Пробуждение реинкарнированной великой святой: После двадцати лет очищения миазмов я проснулась и обнаружила, что стала легендарной великой святой!",/mangas/162940-tensei-daiseijo-no-mezame-shouki-wo-joukashi-tsuzukeru-koto-nijuunen-okitara-densetsu-no-daiseijo-ni-nattemashita,manga,0.0,released,7,38,,,2021-06-03,2024-03-10
10151,Kokoro,Сердце,/mangas/10151-kokoro,manga,0.0,released,4,15,,,2006-11-13,2008-04-11
145069,Nami no Shijima no Horizont,Горизонт тихих волн,/mangas/145069-nami-no-shijima-no-horizont,manga,0.0,ongoing,0,0,,,2021-07-12,
188880,Seikatsu Man,,/mangas/188880-seikatsu-man,manga,6.79,ongoing,0,0,,,2025-11-22,
30359,Strobe Light,Свет строба,/mangas/30359-strobe-light,manga,0.0,released,1,13,,,2007-01-01,
31051,Kuroi Hitsuji,Паршивая овца,/mangas/31051-kuroi-hitsuji,manga,6.55,released,1,1,,,2006-01-06,
147879,Mangaka no Neko de Aru.,Мангака и её кот,/mangas/147879-mangaka-no-neko-de-aru,one_shot,6.63,released,0,1,,,2022-05-16,
30829,Dive!!,Погружение!!,/mangas/30829-dive,manga,0.0,released,5,48,,,2007-06-13,2008-06-04
12337,Atagoul Monogatari,Истории Атагоула,/mangas/12337-atagoul-monogatari,manga,0.0,released,6,48,,,1976-11-01,1981-03-01
20271,Shinkyoku Soukai Polyphonica: Cardinal Crimson,Полифоника: Багровый кардинал,/mangas/20271-shinkyoku-soukai-polyphonica-cardinal-crimson,manga,0.0,released,9,0,,,2007-03-01,2012-01-01
18552,Starry☆Sky: In Autumn - Comic Anthology,Звёздное небо: Осень,/mangas/18552-starry-sky-in-autumn-comic-anthology,manga,0.0,released,1,11,,,2010-02-26,
124339,Beank & Rosa,Бинк & Роза,/mangas/124339-beank-rosa,manga,6.56,released,1,14,,,2013-06-06,2014-05-09
15246,Romance Godan Katsuyou,Пять шагов к роману,/mangas/15246-romance-godan-katsuyou,manga,0.0,released,4,0,,,1989-01-01,1990-01-01
28903,Aishiteru yo Bye-Bye,"Прощай, прощай, я люблю тебя",/mangas/28903-aishiteru-yo-bye-bye,manga,0.0,released,2,12,,,2010-04-20,2010-10-20
126833,Mukashi no Hanashi,История минувших дней,/mangas/126833-mukashi-no-hanashi,manga,0.0,ongoing,0,0,,,2020-05-08,
182832,"Skill ""World Tame"" ni Mezameta Ossan wa Dungeon de Seikei wo Tateru Koto ni Shimashita: Mushoku kara Hajimeru Shihai Musou",,/mangas/182832-skill-world-tame-ni-mezameta-ossan-wa-dungeon-de-seikei-wo-tateru-koto-ni-shimashita-mushoku-kara-hajimeru-shihai-musou,manga,0.0,ongoing,0,0,,,2025-06-11,
10838,Wild Half,Дикая половина,/mangas/10838-wild-half,manga,0.0,released,17,145,,,1995-12-19,1998-11-24
130187,Love Live! School Idol Diary Second Season,Живая любовь! Дневник «Школьного идола» 2,/mangas/130187-love-live-school-idol-diary-second-season,manga,0.0,released,5,22,,,2016-02-29,2021-04-14
21486,Night Wizard Variable Witch,,/mangas/21486-night-wizard-variable-witch,manga,0.0,released,2,0,,,2007-04-28,2008-05-30
16855,P-pan Kuru,,/mangas/16855-p-pan-kuru,one_shot,6.42,released,0,1,,,2008-01-01,
23348,Arcana - Ouji & Hime,Аркана: Принц и принцесса,/mangas/23348-arcana-ouji-hime,manga,0.0,released,1,13,,,2007-04-25,
23360,Arcana - Wafuu / Samurai,Аркана: Японский стиль и самурай,/mangas/23360-arcana-wafuu-samurai,manga,0.0,released,1,16,,,2007-10-25,
153737,Dopeman,Допмен,/mangas/153737-dopeman,manga,0.0,released,3,21,,,2022-03-29,2023-04-11
363,Zoids Shinseiki/Zero,Зойды нового века,/mangas/363-zoids-shinseiki-zero,manga,0.0,released,0,4,,,2001-02-01,2001-08-01
88522,Highway★Star,Дорожная звезда,/mangas/88522-highway-star,manga,0.0,released,1,10,,,1975-08-01,1978-10-01
3389,MVP wa Yuzurenai,Я не могу отказаться от звания самого ценного игрока,/mangas/3389-mvp-wa-yuzurenai,manga,0.0,released,7,0,,,1994-01-01,
8717,Oira Sukeban,Я — правонарушительница,/mangas/8717-oira-sukeban,manga,0.0,released,7,0,,,1974-08-01,
